Line,Female Parent,Male Parent
0,-,-
40,0,0
64.4,0,0
112,0,0
168,Feng Jiao 66-12,Tai Yuan Zao
202,0,0
238,0,0
245,0,0
301,IA1006,Legacy
304,0,0
306,IA1006,Legacy
411,0,0
441,0,0
605,0,0
614,0,0
701,0,0
703,0,0
741,0,0
790,0,0
850,0,0
851,0,0
866,0,0
877,0,0
1136,0,0
1698,0,0
1843,0,0
1936,0,0
2000,0,0
2038,Xiang Dou 3 Hao,Kai Shan Bai
2067,0,0
2139,0,0
2190,0,0
2240,0,0
2534,0,0
2835,0,0
2877,0,0
2932,0,0
3012,0,0
3105,0,0
3171,L77-994,PI556593
3206,0,0
3276,0,0
3293,0,0
3342,0,0
3481,0,0
3660,0,0
4485,0,0
4747,0,0
5007,0,0
5024,0,0
5081,0,0
5155,0,0
5157,0,0
5261,0,0
5621,PI458506,PI602502
5902,PI567604,Ji Ti 5 Hao
5961,PI556814,PI534645
6041,0,0
6084,0,0
6202,Xiao Jin Huang 1 Hao,Gong Jiao 5706
6203,Yi Shui Ping Ding Huang,Qi Huang 1 Hao
6303,PI578498,Qi Huang 1 Hao
6306,PI578498,PI88782
6347,PI518675,PI556781
6363,PI518675,PI556869
6510,Qi Huang 1 Hao,Ji Lin 2 Hao
6520,Qi Huang 1 Hao,A66
6526,1608174,6301B Hun-26
6532,PI578498,Nong Za 9-3
6810,Jing Huang 3 Hao,PI561327
7013,6510,Qi Huang 13
7032,6203,6520
7033,6203,6532
7106,0,0
7110,PI548467,69-2
7133,Zao Feng 1 Hao,Jiu Nong 2 Hao
7144,0,0
7178,0,0
7213,Jin Dou 1 Hao,Ri Ben Da Bai Mei
7219,He Ze 2084,6306
7253,Sui 70-6,PI548506
7333,Si Dou 2 Hao,He Nan Zao Feng 1 Hao
7406,0,0
7517,PI89783,Huai Yin Da Si Li
7583,Asgrow 2552,SN30003
7583,Yue Jin 4 Hao,PI548687
7605,7013,Yan Bian 7001-23
7614,2014346,PI548682
7821,Nai Yin Hei Dou,You Bian 31
8861,0,0
8901,PI436562,Bei Jing Dou
9007,0,0
9008,0,0
9042,0,0
9092,0,0
9132,0,0
9163,0,0
9242,0,0
9244,0,0
9281,0,0
9294,0,0
10003,0,0
10005,0,0
10007,0,0
10009,0,0
10010,0,0
10011,0,0
10013,0,0
10014,0,0
10022,0,0
10428,0,0
10928,80053,4MP4148-32
11415,0,0
12465,PI592535,90733
13007,PI568244,90733
13404,0,0
13873,0,0
13946,0,0
14624,0,0
16628,0,0
16728,0,0
16977,0,0
17219,0,0
18336,0,0
20895,0,0
21028,PI550730,PI584464
21052,ST2250,90676A
21063,PI561711,90683C
21066,MO12557,90688A
21069,MO92117-18,90682E
21070,PI584465,90688C
21080,PI578038,90682C
21082,PI542062,90685A
21096,0,0
21097,PI561711,21063
21111,PI578038,21080
21119,PI572284,21070
21132,PI540454,21082
21202,0,0
21231,0,0
21232,0,0
21238,0,0
21239,0,0
21710,PI561711,21097
21720,PI592546,21111
21721,PI568241,21119
21726,PI540454,21132
27204,0,0
30094,5961,PI556814
30107,XB33B,5961
30124,PI556910,30094
30129,XB33B,30107
30199,PI556910,30124
30214,PI556911,30129
30294,PI556910,30199
30310,PI556910,30294
30333,0,0
30388,PI556910,30310
30438,Pioneer 2981 x Asgrow 3127,Pioneer 2981 x (MV2E1 x Resnik)
30805,0,0
31438,PI592540,PI584463
31766,0,0
31910,31438,PI592540
32127,PI592547,31910
32332,0,0
32745,PI592547,32127
34606,0,0
34754,0,0
36478,0,0
37209,PI594383,PI606072
37357,0,0
37370,0,0
37393,Asgrow 3269,PI606072
40138,0,0
40656,PI602060,MON40-3-2
45270,ST2250,21721
45282,3660,21726
45477,PI598066,AGQ48803
46408,0,0
46427,0,0
49291,0,0
50001,0,0
50226,0,0
50321,0,0
50618,0,0
51232,0,0
51509,0,0
53840,0,0
56555,0,0
56568,0,0
60606,0,0
63639,0,0
63809,0,0
66635,0,0
66640,0,0
66643,0,0
66764,PI548519,PI548557
70543,PI518664,90773
70824,50321,31001-61
70887,PI518664,90773
70961,W8520-044,70543
71495,PI595692,70887
74628,Qi Huang 12,PI602994
76599,CM266,Dairyland DSR304
76713,0,0
76746,0,0
76751,0,0
76770,0,0
76983,0,0
78067,0,0
79076,76031-0-1,76033-0-1-1
80053,Williams 79 x Wells II,CM158
80451,0,0
82285,L77-994 x SRF 250,PI556781
88414,PI591630,2702R
90509,0,0
90675,PI584463,G40-3P9273
90676,ST2250,G40-3P9392
90679,0,0
90682,PI572285,G40-3P9341
90683,PI578038,G40-3P9392
90686,PI550730,G40-3P9392
90687,PI584466,G40-3P9341
90688,PI539936,G40-3P9392
90733,PI592538,90676
90738,0,0
90753,ST2250,90682
90755,PI578038,90683
90773,PI564714,90688
91133,0,0
91183,PI592546,21720
91533,0,0
91608,0,0
93258,0,0
94020,0,0
94523,0,0
96916,0,0
96964,0,0
97413,0,0
97613,0,0
97651,0,0
97663,0,0
98148,0,0
98601,PI556861,PI518664
98602,0,0
99047,0,0
99294,0,0
99345,0,0
99501,0,0
99503,0,0
99507,0,0
102115,0,0
103222,0,0
106014,0,0
116192,0,0
120279,0,0
120281,0,0
120282,0,0
120283,0,0
120284,0,0
120285,0,0
120286,0,0
120287,0,0
120300,0,0
120310,0,0
120311,0,0
126213,0,0
127562,0,0
127563,0,0
133220,0,0
133515,133220,PI602399
134137,0,0
136301,0,0
136305,0,0
136315,0,0
137335,PI598057,SN30003
146415,0,0
146416,0,0
146420,0,0
146422,0,0
146529,602216,WIG2683
146565,606932,PI612954
146904,0,0
149217,602216,AGA15801
149926,PI594386,AGM56501
156571,0,0
161033,0,0
171895,50321,50226
174033,0,0
196172,PI606083,A3502
201548,0,0
212938,602216,PI612940
215818,ST0280,PI612954
232405,PI628669,PI628661
240187,PI606072,Dekalb DKB31-51
240200,0,0
270930,0,0
276951,A1923 x 0,2701R x CX232
277524,FX9805,2701R x Alta
282870,0,0
322579,0,0
322580,0,0
322581,0,0
322869,0,0
330721,0,0
330739,QI5282,PI612937
332119,0,0
332120,0,0
332121,0,0
332122,0,0
332123,0,0
332124,0,0
332125,0,0
332126,0,0
332127,0,0
332128,0,0
332129,0,0
332130,0,0
332131,0,0
332132,0,0
332133,0,0
332134,0,0
332135,0,0
332137,0,0
332139,0,0
332141,0,0
332142,0,0
332143,0,0
332144,0,0
332145,0,0
332146,0,0
332147,0,0
332148,0,0
332149,0,0
341931,Cabot,AG2101 x Asgrow 0868
354818,0,0
362508,3045447-13,3045447-13 x MON89788
367478,CI36950,HPG3482A
384531,PI602897,PI612954
385240,ST0280,PI612954
400144,91533,90509
400222,90738,90509
404045,0,0
406441,0,0
409670,PI606083,AG3201
410235,0,0
417158,DCP3800A0R,PI594383
421133,Dekalb DKB31-51,Dekalb DKB35-51
436052,FR24960,PI612954
457114,QIG42980,DGL4500A0X
478516,0,0
487681,0,0
487682,0,0
487685,0,0
487686,0,0
491711,0,0
491712,0,0
491713,0,0
491714,0,0
491715,0,0
491716,0,0
491717,0,0
491718,0,0
491719,0,0
491720,0,0
491721,0,0
491722,0,0
491723,0,0
491724,0,0
491725,0,0
491726,0,0
491727,0,0
491728,0,0
491729,0,0
491730,0,0
491731,0,0
491732,0,0
491733,0,0
491734,0,0
491735,0,0
491737,0,0
491738,0,0
491739,0,0
500366,50226,10428
501577,80211-98 x 91133,91133
502748,80211-98 x 91133,91133
505469,80109-71 x 61615E,ST2250
509214,0,0
509235,0,0
509236,0,0
509237,0,0
509239,0,0
509240,0,0
509241,0,0
509243,0,0
509244,0,0
509245,0,0
509246,0,0
509247,0,0
509248,0,0
509249,0,0
509251,0,0
509252,0,0
509253,0,0
509254,0,0
509255,0,0
510080,8939SEN x 61615-94,ST2250
513930,A85-392026,63809
515657,32332-34,852024
515865,99931-39,PI562611
585540,PI548614,63639
602216,0,0
606932,0,0
615741,PI542071,HS4824
616906,13404GG,ResnikRR
622392,0,0
700045,01718-90,30333
708990,171895,16728
709048,0,0
737816,01718-90,01718-90 x 10305-01RR
738432,15724-32,ST2254
738594,13404BB2,01136-32 (2) x 71005-05RR
738907,13404GG,13404GG x ResnikRR
739685,34606,ST3264
739860,18270-82,ST3264
739871,18270-82,ST3264
749105,0,0
820013,10653-59,92027-04
829638,K-3444,ResnikRR
850126,0,0
852024,0,0
895325,0,0
900213,0,0
900613,0,0
901023,0,0
907012,0,0
915034,0,0
917013,0,0
919011,0,0
920011,0,0
921021,0,0
921031,0,0
922013,0,0
924001,0,0
924496,0,0
924788,0,0
924861,0,0
925011,0,0
925847,0,0
926877,0,0
927013,0,0
927341,0,0
927494,0,0
928070,0,0
929024,0,0
940021,0,0
941062,0,0
943013,0,0
954011,0,0
970203,0,0
977706,0,0
1000109,0,0
1000126,0,0
1000144,0,0
1000404,0,0
1000500,0,0
1000632,0,0
1000642,0,0
1000643,0,0
1000654,0,0
1000679,0,0
1000680,0,0
1000681,0,0
1000682,0,0
1000729,0,0
1000731,0,0
1000745,0,0
1004352,0,0
1004990,0,0
1022430,406441,01136-32 (2) x 71005-05RR
1022550,404045,91133 (2) x 10305-01RR
1032640,01678C-57,63639-58RR
1045635,PI651518,AG0803 x Asgrow 3244RR2
1045639,0,0
1045640,0,0
1045642,0,0
1045646,0,0
1045647,0,0
1045648,0,0
1045650,0,0
1045654,AG1702RR2YBC2,AG0803 x 3015806-01
1045662,BMK1206A0R x (DRM1503B0R x Asgrow 3244RR2),MK0309A5-B0YN
1045663,5201RR2Y,R0500 x DFL0804A0R
1045677,0,0
1045679,JW1508E7-A0YN,RM0809B3-D0YN
1045684,260744-14,5201RR2Y
1045691,260744-14,D5247567
1045693,RM0808A4-D0YN,D5864369
1045700,JW1508E7-A0YN,RM0809B3-D0YN
1045709,JW1508E7-A0YN,RM1609B8-B0YN
1045710,JW1508E7-A0YN,RM1609B8-B0YN
1045719,JW1508E7-A0YN,RM1609B8-B0YN
1045720,JW1508E7-A0YN,RM1609B8-B0YN
1045724,0,0
1045734,TWISTER RR,AG1431
1045738,0,0
1045747,JW1508E7-A0YN,RM1609B8-B0YN
1045751,JW1508E7-A0YN,AG1431
1045755,0,0
1045767,JW1508E7-A0YN,RM1609B8-B0YN
1045768,JW1508E7-A0YN,PRO 3025R2C
1045769,JW1508E7-A0YN,PRO 3025R2C
1045772,AG1702,AG1431
1045782,JW1508E7-A0YN,PRO 3025R2C
1045783,JW1508E7-A0YN,PRO 3025R2C
1045914,JW1508E7-A0YN,PRO 3025R2C
1045930,AG1702,PRO 3025R2C
1045961,AG2002,PRO 3025R2C
1045963,AG2002,PRO 3025R2C
1045968,0,0
1045982,AG2002,PRO 3025R2C
1045983,AG2002,PRO 3025R2C
1046009,AG2002,PRO 3025R2C
1046013,0,0
1046046,AG2002,PRO 3025R2C
1046051,JW2507B1-D0YN,5626085
1046072,PI651312,BL2708A3-D0YN
1046074,88234045,31-11RY
1046137,PI651312,AG2430
1046139,JW2407A6-D0YN,DFN3306B0R-0001
1046169,JW2007A6-D0YN,AK2708A2-D0YN
1046192,(DAK2301A2R x Dekalb DKB20-52) x MON89788,DFN3006C0R
1046197,BL2909A9-D0YN,5626085
1046203,260744-14,CSR2633 x Asgrow 3244RR2
1046211,FN3209A2-D0YN,CS-29R212N
1046242,FN3207N1D0RN,AG2107RR2YBC2
1046252,BL3409A8-D0YN,AG3130
1046264,BL3309D1-G0RN,AG3130
1046343,BL3209B4-D0YN,AG3130
1046348,BL3409A8-D0YN,AG3130
1046386,BL3309D1-G0RN,FN2809A2-D0YN
1046401,JW2407A6-D0YN,DFN3306B0R-0001
1046426,CS31R242N,CS31R242N x A3525-A3244-BAH
1046439,BL3409A8-D0YN,AG3130
1046442,BL3409A8-D0YN,AG3130
1046447,CBL3705N1R,BL3308A2-D0YN
1046500,BOX2906H0R,037014-11-16 x Asgrow 3244RR2
1046529,ABL3705N0R,CP3407B6-D0YN
1046531,BL3209B4-D0YN,AG3130
1046540,FN3109A8-D0YN,CS-32R212N
1046546,BN3108B9-D0YL,E93309D3-G0YV
1046581,BL3509C1-D0YN,AG3430
1046583,BL3509C1-D0YN,AG3430
1046585,BL3709A8-D0YL,E93309D3-G0YV
1046626,PI556780,AG3803 (3) x A3525-A3244-BAH
1046644,CP3907A4-D0RN,CP3608A2-D0YN
1046668,PI660304,AG3931 x A3525-A3244-BAH
1046703,PI660304,AG3931 x A3525-A3244-BAH
1046743,GL4508A1-D0YN,GL4008D5-B0YN
1046792,CP3907A4-D0RN,GL4708A6-B0YN
1046794,3046231-21,CP3807A4-D0YN
1046798,GL4808A4-C0RN,BL3407D3-D0YN
1046814,PI656340,AG4907 x A3525-A3244-BAH
1046863,MA5307A2-B0RN,MA5307A2-B0RN x A3525-A3244-BAH
1046870,GL5007A1-D0RN,GL4308A9-B0YN
1046873,GL4708A6-B0YN,GL5007A1-D0RN
1046875,GL4708A6-B0YN,GL5007A1-D0RN
1046883,GL5007A2-A0XN,BL3407D3-D0YN
1046887,GL5007A3-A0XN x GL4708A6-B0YN,GL4508A1-D0YN
1046904,J02-11943,GL4008D9-B0YN
1046905,HH5308A4-D0YN,MA5408A1-D0YN
1046953,CNC7506B0R,NC7208A1-C0YN
1046959,CNC7506B0R,NC7208A1-C0YN
1046967,NC7607A1-AORN,NC6308A1-C0YN
1046977,PI661157,NC7208A1-C0YN
1046980,NC7407A1-D0RN,NC7208A1-C0YN
1050428,AG2531,AG2531 (3) x RM2309A1-C0YD
1050431,CB1991R2N,CB1991R2N (3) x RM2309A1-C0YD
1050477,0,0
1050481,0,0
1050482,0,0
1050487,CRB0691R2,MKZ510A7-B0AAC
1050490,0,0
1050493,FL0809B9-B0YN,AG1631
1050494,0,0
1050509,26-54R,AG0803 x Asgrow 3244RR2
1050536,AG1406-T0BAH,AG0730
1050540,0,0
1050547,0,0
1050562,0,0
1050566,260744-14,260744-14 x A3525-A3244-BAH
1050571,0,0
1050576,MK0408A4-C0RN,RM1508A7-D0YN
1050585,AG1031,PS-1162-R2
1050591,PI656336,MK0908A7-D0YN
1050595,260744-14,260744-14 x A3525-A3244-BAH
1050599,0,0
1050609,260744-14,260744-14 x A3525-A3244-BAH
1050612,260744-14,260744-14 x A3525-A3244-BAH
1050628,JW1508E7-A0YN x AG1431,AG1431
1050639,JW1508E7-A0YN x AG1431,AG1431
1050652,JW1508E7-A0YN x AG1431,AG1431
1050679,0,0
1050683,0,0
1050689,29-61RY,CR2-1623N
1050718,0,0
1050728,PI651312,AG2430
1050742,AG2031,CB1791R2N
1050745,5201RR2Y,5201RR2Y x A3525-A3244-BAH
1050761,AG2031,CB1791R2N
1050769,CB1791R2N,CB1791R2N x AK2910T4-T0BAH
1050779,0,0
1050800,BN3009E5-G0CN,EV2309A2-D0YN
1050806,AG3030,AG1931
1050807,0,0
1050814,0,0
1050816,0,0
1050821,0,0
1050829,PI651312,CS-29R02N
1050862,RB2792R2N,CR2-2823N
1050882,0,0
1050895,JW3107C4-B0YN,CS-29R202N
1050896,BL3609C5-D0YL,JW2407A7-D0YN x MON87705
1050909,AG2031,AG2531
1050922,0,0
1050980,0,0
1051028,A1026213,PI660306
1051043,EXP931R2,BN3208B6-D0YL x (4025139-23 x MON87705)
1051074,CR2-3422N,AK3110T4-T0BAH
1051078,OX3210D4-D0BAJ,PI660306
1051084,0,0
1051092,PI660306,AG3631
1051127,8263536,PI660306
1051129,AK2808A7-D0YN,PI660306
1051524,EXP931R2,BN3208B6-D0YL x (4025139-23 x MON87705)
1051527,PI660306,OX3210D4-D0BAJ
1051571,CR2-4502N,CP4309C3-D0YN (2) x A3525-A3244-BAH
1051642,OX3410C3-D0BAJ,PI660306
1051652,CR2-2823N,AG3631
1051693,PI669975,CBRB3391R2N
1051705,PI660306,AG3705-T0BAH
1051734,PI669975,CBRB3391R2N
1051789,BL3510A8-D0AAC,CBRB3391R2N
1051807,PI656346,AG3139
1051809,AG3731,AG3631
1051813,PI556780,CP3408A4-D0YN
1051843,PI656346,GL4308A9-B0YN
1051868,GL4008D9-B0YN,EI4608A5-C0RN
1051871,EI4608A5-C0RN,GL4008C1-D0YN
1051901,GL4008C1-D3YN,AG4130 x GL4009C2-B0YN
1051937,A1016274,GL4008D5-B0YN
1051941,PI656335,EI3808C4-B0YN x EI4208C9-G0YN
1051946,CR2-4502N,CR2-4502N x A3525-A3244-BAH
1051956,PI660304,AG3931 x A3525-A3244-BAH
1051964,CSR4772N,CP3807A4-D0YN
1051987,GL4708A6-B0YN,GL4508A1-D0YN
1051996,GL4708A6-B0YN,GL4508A1-D0YN
1051998,PI656340,GL4008D9-B0YN
1052008,CR2-5502N,CR2-5502N (2) x A3525-A3244-BAH
1052029,CR2-5502N,CR2-5502N (2) x A3525-A3244-BAH
1052030,CR2-5502N,CR2-5502N (2) x A3525-A3244-BAH
1052052,AG5606,MA5408A4-D0YN
1052083,H7550 x Asgrow 3244RR2,A1016278
1052100,NC7409A2-C0YN,AG7231
1052118,NC7409A2-C0YN,NC6809A2-C0YN
1052124,AG5503,AG7231
1052135,NC7409A2-C0YN,CNC7305A0R
1052178,GL5007A3-A0XN,GL4708A6-B0YN x AG4130
1056902,CR2-0114,CR2-0114 (3) x A3525-A3244-BAH
1056904,PI664043,MK1011B4-B0BAH
1056938,AG0732,MK0611B9-D0BAH
1056960,PI664071,24-52R (2) x A3525-A3244-BAH
1056961,PI664044,FL1111B5-B0BAH
1056968,PS-1563-R2,MK0611C1-B0BAH
1056977,PI664044,AI1611C9-ICBAH
1056979,PI664044,260744-14 (2) x A3525-A3244-BAH
1056984,AG1406-T0BAH,AG0730
1056991,AG2831,MK0611C1-B0BAH
1056994,MKZ411A7-D0AAC,FL1011B3-D0BAH
1057010,PI664044,260744-14 (2) x A3525-A3244-BAH
1057021,AG2831,MK0611C1-B0BAH
1057057,CB1791R2N,AW1911F1-B0BAH
1057075,PI664044,AW1211A5-B0BAH
1057076,PI664043,AG00501 (2) x A3525-A3244-BAH
1057079,MKZ809A2-B4YN,FL1011B3-D0BAH
1057081,CR2-0114,CR2-0114 (3) x A3525-A3244-BAH
1057176,RB2101R2N,AG2606 (2) x A3525-A3244-BAH
1057207,AG2831,AK3111H5-B0BAH
1057209,AK2411D2-D0BAH,CR2-3422N
1057212,AG1431,AG1631 (2) x AK3610T4-TOBAH
1057282,BL3310A1-D0AAC,EXP931R2 x AK3010T7-T0BAH
1057290,AK3211H9-B0BAH,AK2211B2-C0AAC
1057333,CR2-2823N,AG3231 x AG2606-TOBAH
1057341,CR2-2823N,AK3011H3-D0BAH
1057345,CB1802R2N,CR2-2823N x AK3310T6-T0BAH
1057347,AK2411D2-D0BAH,AG2731
1057377,CR2-2823N,AK2910T4-T0BAH
1057390,PI660306,AG2606-T0BAH
1057400,PI660306,AG2606-T0BAH
1057424,AK2611H1-B0BAH,AG1431
1057454,AK3111F9-D0BAH,CR2-3422N
1057459,AG2632,AK3011H7-BOBAH
1057493,PI660306,AK3410T2-T0BAH
1057517,MK0907B5-A0RN,MK0008A2-A0YN
1057518,MK0907B5-A0RN,MK0008A2-A0YN
1057523,MK0608A2-D0YN,AG00501
1057525,AG0430,AG1931
1057526,CR-1702N,CR-00514
1057531,AG1631,CR2-0400
1058313,CR2-3422N,AG3231 x AK3410T2-TOBAH
1058320,CR2-3422N,AK3110T4-T0BAH
1058336,AK3011F3-D0BAH,PI660306
1058349,PI660306,AK3410T2-T0BAH
1058353,CR2-3422N,AK3410T2-T0BAH
1058360,CR2-3422N,AK3410T2-T0BAH
1058380,AK3111F9-D0BAH,CR2-3422N
1058403,BL3610C3-D0AAC,AG3803-T0BAH
1058666,CR2-4502N,GL4807A2-D0RN-T0BAH
1058868,0,0
1059528,OX3410C3-D0BAJ,PI660306
1059533,JW3111G5-C0BAJ,OX3411B4-C0AAC
1059559,FN3211H2-C0BAJ,PI660306
1059566,CR2-3422N,AG3264G
1059962,AOX3903A0C,CGL4504D0C
1059966,Asgrow 3525,3066703-51
1059967,AOX3903A0C,CGL4504D0C
1062049,MKZ010A1-G0AAB,CR2-0401
1062050,MKZ010A1-G0AAB,CR2-0401
1062052,CR-1403N,PI664043
1062053,AG0732,PS 0035 NR2
1062057,AG0732,MKZ610A1-D1AAC
1062064,AG0331,JW1508E7-A0YN
1062066,AG0331,JW1508E7-A0YN
1063576,FN3211H2-C0BAJ,PI660306
1063585,CR2-2823N,JW2511F5-C0BAJ
1063616,CR3752N,BL3509C5-D0YL-T2BAJ
1063871,CR3222N,AK3510T6-D0BAH
1063898,PI664036,AG3634 x AK3610T3-TOBAH
1063944,CR3222N,AK2311F4-B0BAH
1063975,CR3333N,PI674119
1064033,0,0
1064035,PI664036,AG3931 x AG4005
1064036,PI664036,AG3931 x AG4005-T0BAH
1064054,PI664036,AG3931 x AG4005-T0BAH
1064106,0,0
1064112,0,0
1064113,CR-0904,AW2011D6-B0BAH
1064115,0,0
1064117,CR-0904,AW1911F1-B0BAH
1064120,AG1431,MK0611C1-B0BAH
1064122,CR-1403N,MK0411D1-B0BAH
1064123,CB1402R2N,AW2011D5-B0BAH
1064130,CB1808R2N,AW2011D5-B0BAH
1064131,PI664071,AW1911F1-B0BAH
1064137,DW3211F3-G0AAA,AW1911D8-B0BAH
1064142,AG2831,AW1911F2-B0BAH
1064144,0,0
1064150,AG3931-T4BAH,CB1402R2N
1064151,AG2831,AW1911F2-B0BAH
1064164,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064165,MKZ809A2-B4YN,FL0711D3-D0BAH
1064166,Mirada-RR,AW1911F1-B0BAH
1064167,PS-1563-R2,MK0611C1-B0BAH
1064171,0,0
1064172,AG1431,MK0611C1-B0BAH
1064176,CR-1502N,AW1611D4-B1BAH
1064182,CR3222N,AK2311F4-B0BAH
1064184,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064185,MKZ809A2-B4YN,FL0711D3-D0BAH
1064187,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064189,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064198,PS 0035 NR2,MK0112A2-C0DNN
1064206,PI664044,AW1211A5-B0BAH
1064215,0,0
1064231,Mirada-RR,AW1911F1-B0BAH
1064238,CR2-0803,AW1911F1-B0BAH
1064243,CR0403N,MK0812A6-C0DNN
1064245,PI664044,AW1211A5-B0BAH
1064252,AG2031,MEDEA-R2 (2) x AK3110T3-T0BAH
1064258,0,0
1064264,0,0
1064265,CB1402R2N,AW1512C3-G0DNN
1064269,0,0
1064280,PI664071,AW1711B6-G0DNN
1064287,0,0
1064288,CB1802R2N,AW2011D5-B0BAH
1064289,0,0
1064317,0,0
1064327,CB1802R2N,AW2011D5-B0BAH
1064338,0,0
1064344,AK2811A1-BOAAC,AW2511D8-D0BAH
1064349,AG2431,AK3111F2-G0DNN
1064350,AG2831,AW1911F2-B0BAH
1064363,FN2811A5-D0AAC,AK2112B9-C0DNN
1064370,CR3222N,BN2412D8-D0DNN
1064381,CR3222N,AK2311F4-B0BAH
1064393,AG2031,AK3111F2-G0DNN
1064400,PI561718,AK2212B9-CODNN
1064401,DW3211F3-G0AAA,AW1911F3-B0BAH
1064403,BL3310A1-D0AAC,EXP931R2 x AK3010T7-TOBAH
1064404,PI660306,AK2411D6-B0BAH
1064406,AG2431,AK3111F2-G0DNN
1064415,CR3222N,AK2311F4-B0BAH
1064421,CR2-2823N,RB2792R2N x AK3110U5-TOBAH
1064439,CR2-3422N,PI674121
1064446,CR2-2823N,5X3112F4-DODNN
1064450,CR2-2823N,AK2711K1-B1BAH
1064461,PI660306,CBRB3391R2N x AK3410T2-TOBAH
1064485,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064486,PS 0035 NR2,MK0112A2-C0DNN
1064488,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064490,PS 0035 NR2,MK0112A2-C0DNN
1064491,PS 0035 NR2,AG00931 (2) x A3525-A3244-BAH
1064494,0,0
1064508,FL0609A8-B0YN,MK0512B5-C0DNN
1064511,A1035782,MK1111B3-B1BAH
1064515,0,0
1064516,AG1431,MK0611C1-B0BAH
1064519,CB1402R2N,RM0612A1-C0DNN
1064521,0,0
1064525,0,0
1064536,CB1402R2N,PI674117
1064539,0,0
1064567,CR2-2823N,AG3231 x AG2606-T0BAH
1064568,CR2-2823N x (AG3231 x AK3010T1-TOBAH),CR2-2823N
1064571,PI660306,CBRB3391R2N x AK3110T4-TOBAH
1064596,CR3862N,BL3312G5-D0DNN
1064613,CB3705R2N,E13811D6-DOBAH
1064625,AG3731,AG3931 x AG4005-T0BAH
1064633,CR4752NS,AG3803-T1BAH
1064635,PI664035,RB4391R2N (2) x A3525-A3244-BAH
1064636,CR-4302N,CSR426NRS-T0BAH
1064667,PI667628,AG4531 x (GL4808A5-C0RN (2) x A3525-A3244-BAH)
1064669,CR4812N,GL4911A5-B0BAH
1064672,PI660016,CR-4712N x (GL4808A5-C0RN (2) x A3525-A3244-BAH)
1064676,CR-4522N,AG4005-T0BAH x (GL4009C2-B0YN (2) x A3525-A3244-BAH)
1064677,PI664061,EI3811C7-D0BAH
1064694,PI664035,GL4911D5-B0BAH
1064722,CR-4522N,GL4008C1-D4YN x AG4907-T0BAH
1064723,CR4752NS,AG4632 x (AG4531 x (AG4130 (2) x A3525-A3244-BAH))
1064735,CR4752NS,AG3803-T1BAH
1064743,CR-4712N x (GL4808A5-C0RN (2) x A3525-A3244-BAH),AG4531 x (GL5007A3-A2XN (2) x A3525-A3244-BAH)
1064748,CR-4522N,EI4811A4-B2BAH
1064756,CR-4712N x (GL4808A5-C0RN (2) x A3525-A3244-BAH),AG4531 x (GL5007A3-A2XN (2) x A3525-A3244-BAH)
1064775,AG5532,GL5011B4-B0BAH
1064809,GL5311B5-D0AAC,HH5911B1-B0BAH
1064838,AG6931,HH8011A1-B0BAH
1067507,PI660306,AK2711K1-B1BAH
1067510,AG3334,BL3814K6-GODNN
1067511,EI3811D6-D0BAH,CR3222N
1067519,CP3910B5-B0AAC,AG4005-T0BAH
1067522,PI673069,AG4135 (3) x BL3709B5-D0YL-T1BAJ
1067523,EI4310A9-D1AAC,EI4013C6-D0DNN
1067525,CR-4722N,AG4130 (2) x AK3310U4-T0BAH
1067526,PI664061,AG4531 x (GL5007A3-A2XN (2) x A3525-A3244-BAH)
1067531,PI660304,AG3803-T1BAH
1067534,PI664061,AG4531 x (GL5007A3-A2XN (2) x A3525-A3244-BAH)
1067535,CBRB5321R2NS,EI4911B3-B1BAH
1067663,CP3413A1-C0YNN,CP3413A8-C0DNN
1067769,EI4310A9-D1AAC,EI3912A8-D0DNN
1067781,CR4752NS,JT4013C9-D0DNN
1067783,EI4310A9-D1AAC,EI4013C6-D0DNN
1067812,EI4310A9-D1AAC,EI4013C6-D0DNN
1068054,MKZ411A7-D0AAC,FL1011B3-D0BAH
1068058,PI664043,AW2011D6-B0BAH
1068060,Mirada-RR,FLO013A3-CODNN
1068065,Mirada-RR,FLO413A7-C0DNN
1068066,CR0924N,RM0612A1-C0DNN
1068082,CR1102N,MK1011B5-B9BAH
1068083,CR0924N,AG0730-T4BAH
1068084,CR2-2023N,RM0612A1-C0DNN
1068085,AG1431,AG1431 (3) x 5463213-25-T4BAH
1068088,CR2-2023N,JW1612A4-C0DNN
1068093,CR2-2023N,AW2211D3-BOBAH
1068109,31-61RY,AK2611G5-D0BAH
1068110,JW2211C4-G0AAA,BOX2906H0R-0035-T2BAH
1068117,PI667632,AG2108-T0DNN
1068118,PI660306,AK2711K1-B1BAH
1068122,AG3334,(CBRB3391R2N x EI3811D6-D0BAH) x (CBRB3391R2N x (AG3634 x AG3803-T0BAH))
1068130,CR0602N,MK1111B3-B3BAH
1068131,Mirada-RR,MK1011B5-B1BAH
