Geno,F,M
DS11.03085,IA3023,X4J105.3.4
DS11.03086,IA3023,X4J105.3.4
DS11.03088,IA3023,X4J105.3.4
DS11.03089,IA3023,X4J105.3.4
DS11.03104,IA3023,X4J105.3.4
DS11.03106,IA3023,X4J105.3.4
DS11.03108,IA3023,X4J105.3.4
DS11.03109,IA3023,X4J105.3.4
DS11.03110,IA3023,X4J105.3.4
DS11.03111,IA3023,X4J105.3.4
DS11.03112,IA3023,X4J105.3.4
DS11.03113,IA3023,X4J105.3.4
DS11.03115,IA3023,X4J105.3.4
DS11.03116,IA3023,X4J105.3.4
DS11.03119,IA3023,X4J105.3.4
DS11.03120,IA3023,X4J105.3.4
DS11.03122,IA3023,X4J105.3.4
DS11.03123,IA3023,X4J105.3.4
DS11.03124,IA3023,X4J105.3.4
DS11.03126,IA3023,X4J105.3.4
DS11.03128,IA3023,X4J105.3.4
DS11.03129,IA3023,X4J105.3.4
DS11.03130,IA3023,X4J105.3.4
DS11.03131,IA3023,X4J105.3.4
DS11.03132,IA3023,X4J105.3.4
DS11.03133,IA3023,X4J105.3.4
DS11.03134,IA3023,X4J105.3.4
DS11.03135,IA3023,X4J105.3.4
DS11.03138,IA3023,X4J105.3.4
DS11.03142,IA3023,X4J105.3.4
DS11.03143,IA3023,X4J105.3.4
DS11.03144,IA3023,X4J105.3.4
DS11.03145,IA3023,X4J105.3.4
DS11.03147,IA3023,X4J105.3.4
DS11.03148,IA3023,X4J105.3.4
DS11.03149,IA3023,X4J105.3.4
DS11.03151,IA3023,X4J105.3.4
DS11.03154,IA3023,X4J105.3.4
DS11.03157,IA3023,X4J105.3.4
DS11.03158,IA3023,X4J105.3.4
DS11.03160,IA3023,X4J105.3.4
DS11.03161,IA3023,X4J105.3.4
DS11.03162,IA3023,X4J105.3.4
DS11.03163,IA3023,X4J105.3.4
DS11.03164,IA3023,X4J105.3.4
DS11.03165,IA3023,X4J105.3.4
DS11.03166,IA3023,X4J105.3.4
DS11.03168,IA3023,X4J105.3.4
DS11.03169,IA3023,X4J105.3.4
DS11.03170,IA3023,X4J105.3.4
DS11.03171,IA3023,X4J105.3.4
DS11.03172,IA3023,X4J105.3.4
DS11.03173,IA3023,X4J105.3.4
DS11.03174,IA3023,X4J105.3.4
DS11.03175,IA3023,X4J105.3.4
DS11.03176,IA3023,X4J105.3.4
DS11.03177,IA3023,X4J105.3.4
DS11.03178,IA3023,X4J105.3.4
DS11.03180,IA3023,X4J105.3.4
DS11.03181,IA3023,X4J105.3.4
DS11.03183,IA3023,X4J105.3.4
DS11.03185,IA3023,X4J105.3.4
DS11.03186,IA3023,X4J105.3.4
DS11.03188,IA3023,X4J105.3.4
DS11.03189,IA3023,X4J105.3.4
DS11.03190,IA3023,X4J105.3.4
DS11.03195,IA3023,X4J105.3.4
DS11.03196,IA3023,X4J105.3.4
DS11.03197,IA3023,X4J105.3.4
DS11.03198,IA3023,X4J105.3.4
DS11.03199,IA3023,X4J105.3.4
DS11.03200,IA3023,X4J105.3.4
DS11.03202,IA3023,X4J105.3.4
DS11.03203,IA3023,X4J105.3.4
DS11.04002,IA3023,X5M20.2.5.2
DS11.04003,IA3023,X5M20.2.5.2
DS11.04006,IA3023,X5M20.2.5.2
DS11.04007,IA3023,X5M20.2.5.2
DS11.04008,IA3023,X5M20.2.5.2
DS11.04009,IA3023,X5M20.2.5.2
DS11.04010,IA3023,X5M20.2.5.2
DS11.04012,IA3023,X5M20.2.5.2
DS11.04013,IA3023,X5M20.2.5.2
DS11.04015,IA3023,X5M20.2.5.2
DS11.04016,IA3023,X5M20.2.5.2
DS11.04017,IA3023,X5M20.2.5.2
DS11.04023,IA3023,X5M20.2.5.2
DS11.04027,IA3023,X5M20.2.5.2
DS11.04028,IA3023,X5M20.2.5.2
DS11.04029,IA3023,X5M20.2.5.2
DS11.04030,IA3023,X5M20.2.5.2
DS11.04032,IA3023,X5M20.2.5.2
DS11.04033,IA3023,X5M20.2.5.2
DS11.04035,IA3023,X5M20.2.5.2
DS11.04036,IA3023,X5M20.2.5.2
DS11.04037,IA3023,X5M20.2.5.2
DS11.04039,IA3023,X5M20.2.5.2
DS11.04040,IA3023,X5M20.2.5.2
DS11.04041,IA3023,X5M20.2.5.2
DS11.04043,IA3023,X5M20.2.5.2
DS11.04044,IA3023,X5M20.2.5.2
DS11.04045,IA3023,X5M20.2.5.2
DS11.04047,IA3023,X5M20.2.5.2
DS11.04048,IA3023,X5M20.2.5.2
DS11.04049,IA3023,X5M20.2.5.2
DS11.04050,IA3023,X5M20.2.5.2
DS11.04051,IA3023,X5M20.2.5.2
DS11.04053,IA3023,X5M20.2.5.2
DS11.04054,IA3023,X5M20.2.5.2
DS11.04055,IA3023,X5M20.2.5.2
DS11.04056,IA3023,X5M20.2.5.2
DS11.04058,IA3023,X5M20.2.5.2
DS11.04059,IA3023,X5M20.2.5.2
DS11.04060,IA3023,X5M20.2.5.2
DS11.04061,IA3023,X5M20.2.5.2
DS11.04062,IA3023,X5M20.2.5.2
DS11.04063,IA3023,X5M20.2.5.2
DS11.04064,IA3023,X5M20.2.5.2
DS11.04068,IA3023,X5M20.2.5.2
DS11.04069,IA3023,X5M20.2.5.2
DS11.04072,IA3023,X5M20.2.5.2
DS11.04073,IA3023,X5M20.2.5.2
DS11.04074,IA3023,X5M20.2.5.2
DS11.04075,IA3023,X5M20.2.5.2
DS11.04078,IA3023,X5M20.2.5.2
DS11.04079,IA3023,X5M20.2.5.2
DS11.04080,IA3023,X5M20.2.5.2
DS11.04082,IA3023,X5M20.2.5.2
DS11.04084,IA3023,X5M20.2.5.2
DS11.04085,IA3023,X5M20.2.5.2
DS11.04089,IA3023,X5M20.2.5.2
DS11.04090,IA3023,X5M20.2.5.2
DS11.04091,IA3023,X5M20.2.5.2
DS11.04092,IA3023,X5M20.2.5.2
DS11.04094,IA3023,X5M20.2.5.2
DS11.04095,IA3023,X5M20.2.5.2
DS11.04096,IA3023,X5M20.2.5.2
DS11.04097,IA3023,X5M20.2.5.2
DS11.04098,IA3023,X5M20.2.5.2
DS11.04099,IA3023,X5M20.2.5.2
DS11.04100,IA3023,X5M20.2.5.2
DS11.04101,IA3023,X5M20.2.5.2
DS11.04104,IA3023,X5M20.2.5.2
DS11.04112,IA3023,X5M20.2.5.2
DS11.04114,IA3023,X5M20.2.5.2
DS11.04115,IA3023,X5M20.2.5.2
DS11.04116,IA3023,X5M20.2.5.2
DS11.04119,IA3023,X5M20.2.5.2
DS11.04120,IA3023,X5M20.2.5.2
DS11.04121,IA3023,X5M20.2.5.2
DS11.04122,IA3023,X5M20.2.5.2
DS11.04124,IA3023,X5M20.2.5.2
DS11.04127,IA3023,X5M20.2.5.2
DS11.04129,IA3023,X5M20.2.5.2
DS11.04130,IA3023,X5M20.2.5.2
DS11.04132,IA3023,X5M20.2.5.2
DS11.04133,IA3023,X5M20.2.5.2
DS11.04135,IA3023,X5M20.2.5.2
DS11.04137,IA3023,X5M20.2.5.2
DS11.04138,IA3023,X5M20.2.5.2
DS11.04140,IA3023,X5M20.2.5.2
DS11.04142,IA3023,X5M20.2.5.2
DS11.04143,IA3023,X5M20.2.5.2
DS11.04145,IA3023,X5M20.2.5.2
DS11.04146,IA3023,X5M20.2.5.2
DS11.04147,IA3023,X5M20.2.5.2
DS11.04148,IA3023,X5M20.2.5.2
DS11.04149,IA3023,X5M20.2.5.2
DS11.04152,IA3023,X5M20.2.5.2
DS11.04153,IA3023,X5M20.2.5.2
DS11.04155,IA3023,X5M20.2.5.2
DS11.04156,IA3023,X5M20.2.5.2
DS11.04157,IA3023,X5M20.2.5.2
DS11.04158,IA3023,X5M20.2.5.2
DS11.04160,IA3023,X5M20.2.5.2
DS11.04162,IA3023,X5M20.2.5.2
DS11.04163,IA3023,X5M20.2.5.2
DS11.04164,IA3023,X5M20.2.5.2
DS11.04165,IA3023,X5M20.2.5.2
DS11.04167,IA3023,X5M20.2.5.2
DS11.04168,IA3023,X5M20.2.5.2
DS11.04169,IA3023,X5M20.2.5.2
DS11.04170,IA3023,X5M20.2.5.2
DS11.04171,IA3023,X5M20.2.5.2
DS11.04172,IA3023,X5M20.2.5.2
DS11.04173,IA3023,X5M20.2.5.2
DS11.04174,IA3023,X5M20.2.5.2
DS11.04175,IA3023,X5M20.2.5.2
DS11.04177,IA3023,X5M20.2.5.2
DS11.04178,IA3023,X5M20.2.5.2
DS11.04179,IA3023,X5M20.2.5.2
DS11.04181,IA3023,X5M20.2.5.2
DS11.04184,IA3023,X5M20.2.5.2
DS11.04185,IA3023,X5M20.2.5.2
DS11.04187,IA3023,X5M20.2.5.2
DS11.04191,IA3023,X5M20.2.5.2
DS11.04192,IA3023,X5M20.2.5.2
DS11.04194,IA3023,X5M20.2.5.2
DS11.04195,IA3023,X5M20.2.5.2
DS11.04201,IA3023,X5M20.2.5.2
DS11.04204,IA3023,X5M20.2.5.2
DS11.04206,IA3023,X5M20.2.5.2
DS11.04207,IA3023,X5M20.2.5.2
DS11.04208,IA3023,X5M20.2.5.2
DS11.04211,IA3023,X5M20.2.5.2
DS11.04212,IA3023,X5M20.2.5.2
DS11.04214,IA3023,X5M20.2.5.2
