Geno,F,M
DS11.08042,HS6.3976,IA3023
DS11.08043,HS6.3976,IA3023
DS11.08044,HS6.3976,IA3023
DS11.08045,HS6.3976,IA3023
DS11.08046,HS6.3976,IA3023
DS11.08047,HS6.3976,IA3023
DS11.08049,HS6.3976,IA3023
DS11.08050,HS6.3976,IA3023
DS11.08051,HS6.3976,IA3023
DS11.08052,HS6.3976,IA3023
DS11.08054,HS6.3976,IA3023
DS11.08056,HS6.3976,IA3023
DS11.08057,HS6.3976,IA3023
DS11.08058,HS6.3976,IA3023
DS11.08059,HS6.3976,IA3023
DS11.08060,HS6.3976,IA3023
DS11.08062,HS6.3976,IA3023
DS11.08063,HS6.3976,IA3023
DS11.08064,HS6.3976,IA3023
DS11.08065,HS6.3976,IA3023
DS11.08066,HS6.3976,IA3023
DS11.08068,HS6.3976,IA3023
DS11.08069,HS6.3976,IA3023
DS11.08071,HS6.3976,IA3023
DS11.08074,HS6.3976,IA3023
DS11.08075,HS6.3976,IA3023
DS11.08076,HS6.3976,IA3023
DS11.08077,HS6.3976,IA3023
DS11.08079,HS6.3976,IA3023
DS11.08081,HS6.3976,IA3023
DS11.08082,HS6.3976,IA3023
DS11.08083,HS6.3976,IA3023
DS11.08084,HS6.3976,IA3023
DS11.08085,HS6.3976,IA3023
DS11.08086,HS6.3976,IA3023
DS11.08101,HS6.3976,IA3023
DS11.08103,HS6.3976,IA3023
DS11.08107,HS6.3976,IA3023
DS11.08108,HS6.3976,IA3023
DS11.08110,HS6.3976,IA3023
DS11.08113,HS6.3976,IA3023
DS11.08114,HS6.3976,IA3023
DS11.08115,HS6.3976,IA3023
DS11.08116,HS6.3976,IA3023
DS11.08117,HS6.3976,IA3023
DS11.08118,HS6.3976,IA3023
DS11.08119,HS6.3976,IA3023
DS11.08121,HS6.3976,IA3023
DS11.08122,HS6.3976,IA3023
DS11.08123,HS6.3976,IA3023
DS11.08126,HS6.3976,IA3023
DS11.08127,HS6.3976,IA3023
DS11.08129,HS6.3976,IA3023
DS11.08130,HS6.3976,IA3023
DS11.08131,HS6.3976,IA3023
DS11.08133,HS6.3976,IA3023
DS11.08134,HS6.3976,IA3023
DS11.08135,HS6.3976,IA3023
DS11.08136,HS6.3976,IA3023
DS11.08137,HS6.3976,IA3023
DS11.08138,HS6.3976,IA3023
DS11.08140,HS6.3976,IA3023
DS11.08141,HS6.3976,IA3023
DS11.08144,HS6.3976,IA3023
DS11.08145,HS6.3976,IA3023
DS11.08147,HS6.3976,IA3023
DS11.08148,HS6.3976,IA3023
DS11.08149,HS6.3976,IA3023
DS11.08150,HS6.3976,IA3023
DS11.08151,HS6.3976,IA3023
DS11.08153,HS6.3976,IA3023
DS11.08154,HS6.3976,IA3023
DS11.08155,HS6.3976,IA3023
DS11.08156,HS6.3976,IA3023
DS11.08157,HS6.3976,IA3023
DS11.08158,HS6.3976,IA3023
DS11.08159,HS6.3976,IA3023
DS11.08160,HS6.3976,IA3023
DS11.08162,HS6.3976,IA3023
DS11.08163,HS6.3976,IA3023
DS11.08164,HS6.3976,IA3023
DS11.08165,HS6.3976,IA3023
DS11.08166,HS6.3976,IA3023
DS11.08167,HS6.3976,IA3023
DS11.08170,HS6.3976,IA3023
DS11.08171,HS6.3976,IA3023
DS11.08172,HS6.3976,IA3023
DS11.08173,HS6.3976,IA3023
DS11.08174,HS6.3976,IA3023
DS11.08175,HS6.3976,IA3023
DS11.08176,HS6.3976,IA3023
DS11.08178,HS6.3976,IA3023
DS11.08180,HS6.3976,IA3023
DS11.08181,HS6.3976,IA3023
DS11.08182,HS6.3976,IA3023
DS11.08183,HS6.3976,IA3023
DS11.08185,HS6.3976,IA3023
DS11.08187,HS6.3976,IA3023
DS11.08188,HS6.3976,IA3023
DS11.08191,HS6.3976,IA3023
DS11.08192,HS6.3976,IA3023
DS11.08193,HS6.3976,IA3023
DS11.08197,HS6.3976,IA3023
DS11.08198,HS6.3976,IA3023
DS11.09001,IA3023,PI643146
DS11.09007,IA3023,PI643146
DS11.09010,IA3023,PI643146
DS11.09013,IA3023,PI643146
DS11.09014,IA3023,PI643146
DS11.09017,IA3023,PI643146
DS11.09020,IA3023,PI643146
DS11.09021,IA3023,PI643146
DS11.09023,IA3023,PI643146
DS11.09024,IA3023,PI643146
DS11.09027,IA3023,PI643146
DS11.09030,IA3023,PI643146
DS11.09033,IA3023,PI643146
DS11.09034,IA3023,PI643146
DS11.09035,IA3023,PI643146
DS11.09036,IA3023,PI643146
DS11.09037,IA3023,PI643146
DS11.09039,IA3023,PI643146
DS11.09040,IA3023,PI643146
DS11.09041,IA3023,PI643146
DS11.09043,IA3023,PI643146
DS11.09047,IA3023,PI643146
DS11.09049,IA3023,PI643146
DS11.09050,IA3023,PI643146
DS11.09053,IA3023,PI643146
DS11.09055,IA3023,PI643146
DS11.09056,IA3023,PI643146
DS11.09059,IA3023,PI643146
DS11.09062,IA3023,PI643146
DS11.09063,IA3023,PI643146
DS11.09065,IA3023,PI643146
DS11.09066,IA3023,PI643146
DS11.09068,IA3023,PI643146
DS11.09069,IA3023,PI643146
DS11.09070,IA3023,PI643146
DS11.09071,IA3023,PI643146
DS11.09072,IA3023,PI643146
DS11.09074,IA3023,PI643146
DS11.09075,IA3023,PI643146
DS11.09076,IA3023,PI643146
DS11.09087,IA3023,PI643146
DS11.09088,IA3023,PI643146
DS11.09095,IA3023,PI643146
DS11.09097,IA3023,PI643146
DS11.09101,IA3023,PI643146
DS11.09102,IA3023,PI643146
DS11.09104,IA3023,PI643146
DS11.09105,IA3023,PI643146
DS11.09106,IA3023,PI643146
DS11.09112,IA3023,PI643146
DS11.09114,IA3023,PI643146
DS11.09115,IA3023,PI643146
DS11.09116,IA3023,PI643146
DS11.09117,IA3023,PI643146
DS11.09121,IA3023,PI643146
DS11.09122,IA3023,PI643146
DS11.09123,IA3023,PI643146
DS11.09124,IA3023,PI643146
DS11.09126,IA3023,PI643146
DS11.09127,IA3023,PI643146
DS11.09128,IA3023,PI643146
DS11.09129,IA3023,PI643146
DS11.09130,IA3023,PI643146
DS11.09132,IA3023,PI643146
DS11.09133,IA3023,PI643146
DS11.09134,IA3023,PI643146
DS11.09135,IA3023,PI643146
DS11.09138,IA3023,PI643146
DS11.09139,IA3023,PI643146
DS11.09141,IA3023,PI643146
DS11.09143,IA3023,PI643146
DS11.09144,IA3023,PI643146
DS11.09145,IA3023,PI643146
DS11.09146,IA3023,PI643146
DS11.09147,IA3023,PI643146
DS11.09149,IA3023,PI643146
DS11.09150,IA3023,PI643146
DS11.09152,IA3023,PI643146
DS11.09153,IA3023,PI643146
DS11.09154,IA3023,PI643146
DS11.09155,IA3023,PI643146
DS11.09156,IA3023,PI643146
DS11.09157,IA3023,PI643146
DS11.09158,IA3023,PI643146
DS11.09159,IA3023,PI643146
DS11.09165,IA3023,PI643146
DS11.09166,IA3023,PI643146
DS11.09167,IA3023,PI643146
DS11.09169,IA3023,PI643146
DS11.09171,IA3023,PI643146
DS11.09173,IA3023,PI643146
DS11.09174,IA3023,PI643146
DS11.09176,IA3023,PI643146
DS11.09178,IA3023,PI643146
DS11.09179,IA3023,PI643146
DS11.09180,IA3023,PI643146
DS11.09181,IA3023,PI643146
DS11.09182,IA3023,PI643146
DS11.09183,IA3023,PI643146
DS11.09184,IA3023,PI643146
DS11.09185,IA3023,PI643146
DS11.09187,IA3023,PI643146
DS11.09189,IA3023,PI643146
DS11.09191,IA3023,PI643146
DS11.09193,IA3023,PI643146
DS11.09194,IA3023,PI643146
DS11.09195,IA3023,PI643146
DS11.09196,IA3023,PI643146
DS11.09198,IA3023,PI643146
DS11.09201,IA3023,PI643146
DS11.09202,IA3023,PI643146
DS11.09205,IA3023,PI643146
DS11.09206,IA3023,PI643146
DS11.09212,IA3023,PI643146
DS11.09213,IA3023,PI643146
DS11.09216,IA3023,PI643146
DS11.09217,IA3023,PI643146
DS11.09220,IA3023,PI643146
DS11.09223,IA3023,PI643146
DS11.09225,IA3023,PI643146
DS11.09227,IA3023,PI643146
DS11.09228,IA3023,PI643146
DS11.09230,IA3023,PI643146
DS11.09231,IA3023,PI643146
DS11.09234,IA3023,PI643146
DS11.09236,IA3023,PI643146
DS11.09237,IA3023,PI643146
DS11.09238,IA3023,PI643146
DS11.09239,IA3023,PI643146
DS11.09242,IA3023,PI643146
DS11.09243,IA3023,PI643146
DS11.09244,IA3023,PI643146
DS11.09246,IA3023,PI643146
DS11.09247,IA3023,PI643146
DS11.09248,IA3023,PI643146
DS11.09249,IA3023,PI643146
DS11.09250,IA3023,PI643146
DS11.10001,IA3023,PI639740
DS11.10003,IA3023,PI639740
DS11.10005,IA3023,PI639740
DS11.10007,IA3023,PI639740
DS11.10010,IA3023,PI639740
DS11.10012,IA3023,PI639740
DS11.10013,IA3023,PI639740
DS11.10017,IA3023,PI639740
DS11.10018,IA3023,PI639740
DS11.10019,IA3023,PI639740
DS11.10020,IA3023,PI639740
DS11.10024,IA3023,PI639740
DS11.10026,IA3023,PI639740
DS11.10027,IA3023,PI639740
DS11.10028,IA3023,PI639740
DS11.10029,IA3023,PI639740
DS11.10031,IA3023,PI639740
DS11.10032,IA3023,PI639740
DS11.10033,IA3023,PI639740
DS11.10036,IA3023,PI639740
DS11.10042,IA3023,PI639740
DS11.10043,IA3023,PI639740
DS11.10046,IA3023,PI639740
DS11.10047,IA3023,PI639740
DS11.10048,IA3023,PI639740
DS11.10051,IA3023,PI639740
DS11.10052,IA3023,PI639740
DS11.10054,IA3023,PI639740
DS11.10055,IA3023,PI639740
DS11.10056,IA3023,PI639740
DS11.10057,IA3023,PI639740
DS11.10060,IA3023,PI639740
DS11.10062,IA3023,PI639740
DS11.10063,IA3023,PI639740
DS11.10065,IA3023,PI639740
DS11.10066,IA3023,PI639740
DS11.10067,IA3023,PI639740
DS11.10068,IA3023,PI639740
DS11.10069,IA3023,PI639740
DS11.10070,IA3023,PI639740
DS11.10072,IA3023,PI639740
DS11.10074,IA3023,PI639740
DS11.10075,IA3023,PI639740
DS11.10078,IA3023,PI639740
DS11.10079,IA3023,PI639740
DS11.10080,IA3023,PI639740
DS11.10081,IA3023,PI639740
DS11.10082,IA3023,PI639740
DS11.10083,IA3023,PI639740
DS11.10086,IA3023,PI639740
DS11.10088,IA3023,PI639740
DS11.10090,IA3023,PI639740
DS11.10093,IA3023,PI639740
DS11.10094,IA3023,PI639740
DS11.10099,IA3023,PI639740
DS11.10100,IA3023,PI639740
DS11.10102,IA3023,PI639740
DS11.10106,IA3023,PI639740
DS11.10107,IA3023,PI639740
DS11.10108,IA3023,PI639740
DS11.10109,IA3023,PI639740
DS11.10115,IA3023,PI639740
DS11.10116,IA3023,PI639740
DS11.10117,IA3023,PI639740
DS11.10119,IA3023,PI639740
DS11.10123,IA3023,PI639740
DS11.10124,IA3023,PI639740
DS11.10125,IA3023,PI639740
DS11.10127,IA3023,PI639740
DS11.10128,IA3023,PI639740
DS11.10129,IA3023,PI639740
DS11.10130,IA3023,PI639740
DS11.10131,IA3023,PI639740
DS11.10132,IA3023,PI639740
DS11.10134,IA3023,PI639740
DS11.10135,IA3023,PI639740
DS11.10136,IA3023,PI639740
DS11.10137,IA3023,PI639740
DS11.10138,IA3023,PI639740
DS11.10139,IA3023,PI639740
DS11.10141,IA3023,PI639740
DS11.10142,IA3023,PI639740
DS11.10143,IA3023,PI639740
DS11.10145,IA3023,PI639740
DS11.10146,IA3023,PI639740
DS11.10147,IA3023,PI639740
DS11.10148,IA3023,PI639740
DS11.10149,IA3023,PI639740
DS11.10150,IA3023,PI639740
DS11.10151,IA3023,PI639740
DS11.10152,IA3023,PI639740
DS11.10154,IA3023,PI639740
DS11.10155,IA3023,PI639740
DS11.10156,IA3023,PI639740
DS11.10157,IA3023,PI639740
DS11.10158,IA3023,PI639740
DS11.10159,IA3023,PI639740
DS11.10161,IA3023,PI639740
DS11.10163,IA3023,PI639740
DS11.10166,IA3023,PI639740
DS11.10167,IA3023,PI639740
DS11.10168,IA3023,PI639740
DS11.10169,IA3023,PI639740
DS11.10170,IA3023,PI639740
DS11.10172,IA3023,PI639740
DS11.10173,IA3023,PI639740
DS11.10174,IA3023,PI639740
DS11.10175,IA3023,PI639740
DS11.10176,IA3023,PI639740
DS11.10177,IA3023,PI639740
DS11.10179,IA3023,PI639740
DS11.10180,IA3023,PI639740
DS11.10181,IA3023,PI639740
DS11.10182,IA3023,PI639740
DS11.10185,IA3023,PI639740
DS11.10188,IA3023,PI639740
DS11.10189,IA3023,PI639740
DS11.10191,IA3023,PI639740
DS11.10192,IA3023,PI639740
DS11.10194,IA3023,PI639740
DS11.10196,IA3023,PI639740
DS11.10197,IA3023,PI639740
DS11.10198,IA3023,PI639740
DS11.10199,IA3023,PI639740
DS11.10201,IA3023,PI639740
DS11.10202,IA3023,PI639740
DS11.10203,IA3023,PI639740
DS11.10205,IA3023,PI639740
DS11.10206,IA3023,PI639740
DS11.10207,IA3023,PI639740
DS11.10209,IA3023,PI639740
DS11.10216,IA3023,PI639740
DS11.10227,IA3023,PI639740
DS11.10234,IA3023,PI639740
DS11.10235,IA3023,PI639740
DS11.10241,IA3023,PI639740
DS11.10245,IA3023,PI639740
DS11.10247,IA3023,PI639740
DS11.10249,IA3023,PI639740
DS11.11005,IA3023,LD01.5907
DS11.11006,IA3023,LD01.5907
DS11.11007,IA3023,LD01.5907
DS11.11008,IA3023,LD01.5907
DS11.11009,IA3023,LD01.5907
DS11.11011,IA3023,LD01.5907
DS11.11013,IA3023,LD01.5907
DS11.11014,IA3023,LD01.5907
DS11.11015,IA3023,LD01.5907
DS11.11016,IA3023,LD01.5907
DS11.11017,IA3023,LD01.5907
DS11.11018,IA3023,LD01.5907
DS11.11020,IA3023,LD01.5907
DS11.11021,IA3023,LD01.5907
DS11.11022,IA3023,LD01.5907
DS11.11025,IA3023,LD01.5907
DS11.11027,IA3023,LD01.5907
DS11.11029,IA3023,LD01.5907
DS11.11032,IA3023,LD01.5907
DS11.11034,IA3023,LD01.5907
DS11.11035,IA3023,LD01.5907
DS11.11036,IA3023,LD01.5907
DS11.11039,IA3023,LD01.5907
DS11.11042,IA3023,LD01.5907
DS11.11044,IA3023,LD01.5907
DS11.11045,IA3023,LD01.5907
DS11.11046,IA3023,LD01.5907
DS11.11047,IA3023,LD01.5907
DS11.11048,IA3023,LD01.5907
DS11.11049,IA3023,LD01.5907
DS11.11050,IA3023,LD01.5907
DS11.11051,IA3023,LD01.5907
DS11.11054,IA3023,LD01.5907
DS11.11055,IA3023,LD01.5907
DS11.11058,IA3023,LD01.5907
DS11.11059,IA3023,LD01.5907
DS11.11061,IA3023,LD01.5907
DS11.11064,IA3023,LD01.5907
DS11.11065,IA3023,LD01.5907
DS11.11066,IA3023,LD01.5907
DS11.11068,IA3023,LD01.5907
DS11.11069,IA3023,LD01.5907
DS11.11070,IA3023,LD01.5907
DS11.11073,IA3023,LD01.5907
DS11.11074,IA3023,LD01.5907
DS11.11075,IA3023,LD01.5907
DS11.11077,IA3023,LD01.5907
DS11.11078,IA3023,LD01.5907
DS11.11080,IA3023,LD01.5907
DS11.11081,IA3023,LD01.5907
DS11.11082,IA3023,LD01.5907
DS11.11084,IA3023,LD01.5907
DS11.11085,IA3023,LD01.5907
DS11.11087,IA3023,LD01.5907
DS11.11090,IA3023,LD01.5907
DS11.11091,IA3023,LD01.5907
DS11.11093,IA3023,LD01.5907
DS11.11095,IA3023,LD01.5907
DS11.11097,IA3023,LD01.5907
DS11.11099,IA3023,LD01.5907
DS11.11101,IA3023,LD01.5907
DS11.11104,IA3023,LD01.5907
DS11.11105,IA3023,LD01.5907
DS11.11107,IA3023,LD01.5907
DS11.11108,IA3023,LD01.5907
DS11.11110,IA3023,LD01.5907
DS11.11113,IA3023,LD01.5907
DS11.11114,IA3023,LD01.5907
DS11.11115,IA3023,LD01.5907
DS11.11116,IA3023,LD01.5907
DS11.11117,IA3023,LD01.5907
DS11.11119,IA3023,LD01.5907
DS11.11121,IA3023,LD01.5907
DS11.11122,IA3023,LD01.5907
DS11.11123,IA3023,LD01.5907
DS11.11124,IA3023,LD01.5907
DS11.11125,IA3023,LD01.5907
DS11.11126,IA3023,LD01.5907
DS11.11128,IA3023,LD01.5907
DS11.11129,IA3023,LD01.5907
DS11.11133,IA3023,LD01.5907
DS11.11134,IA3023,LD01.5907
DS11.11137,IA3023,LD01.5907
DS11.11139,IA3023,LD01.5907
DS11.11140,IA3023,LD01.5907
DS11.11141,IA3023,LD01.5907
DS11.11144,IA3023,LD01.5907
DS11.11145,IA3023,LD01.5907
DS11.11147,IA3023,LD01.5907
DS11.11148,IA3023,LD01.5907
DS11.11149,IA3023,LD01.5907
DS11.11150,IA3023,LD01.5907
DS11.11152,IA3023,LD01.5907
DS11.11154,IA3023,LD01.5907
DS11.11155,IA3023,LD01.5907
DS11.11156,IA3023,LD01.5907
DS11.11157,IA3023,LD01.5907
DS11.11158,IA3023,LD01.5907
DS11.11159,IA3023,LD01.5907
DS11.11163,IA3023,LD01.5907
DS11.11164,IA3023,LD01.5907
DS11.11165,IA3023,LD01.5907
DS11.11166,IA3023,LD01.5907
DS11.11167,IA3023,LD01.5907
DS11.11177,IA3023,LD01.5907
DS11.11179,IA3023,LD01.5907
DS11.11183,IA3023,LD01.5907
DS11.11184,IA3023,LD01.5907
DS11.11189,IA3023,LD01.5907
DS11.11197,IA3023,LD01.5907
DS11.11199,IA3023,LD01.5907
DS11.11202,IA3023,LD01.5907
DS11.11215,IA3023,LD01.5907
DS11.11217,IA3023,LD01.5907
DS11.11226,IA3023,LD01.5907
DS11.11230,IA3023,LD01.5907
DS11.11232,IA3023,LD01.5907
DS11.11233,IA3023,LD01.5907
DS11.11234,IA3023,LD01.5907
DS11.11235,IA3023,LD01.5907
DS11.11237,IA3023,LD01.5907
DS11.11244,IA3023,LD01.5907
DS11.11247,IA3023,LD01.5907
DS11.11250,IA3023,LD01.5907
DS11.12001,IA3023,LD02.4485
DS11.12002,IA3023,LD02.4485
DS11.12003,IA3023,LD02.4485
DS11.12004,IA3023,LD02.4485
DS11.12005,IA3023,LD02.4485
DS11.12006,IA3023,LD02.4485
DS11.12008,IA3023,LD02.4485
DS11.12009,IA3023,LD02.4485
DS11.12012,IA3023,LD02.4485
DS11.12013,IA3023,LD02.4485
DS11.12014,IA3023,LD02.4485
DS11.12015,IA3023,LD02.4485
DS11.12018,IA3023,LD02.4485
DS11.12019,IA3023,LD02.4485
DS11.12020,IA3023,LD02.4485
DS11.12022,IA3023,LD02.4485
DS11.12023,IA3023,LD02.4485
DS11.12025,IA3023,LD02.4485
DS11.12027,IA3023,LD02.4485
DS11.12028,IA3023,LD02.4485
DS11.12029,IA3023,LD02.4485
DS11.12030,IA3023,LD02.4485
DS11.12032,IA3023,LD02.4485
DS11.12033,IA3023,LD02.4485
DS11.12034,IA3023,LD02.4485
DS11.12035,IA3023,LD02.4485
DS11.12036,IA3023,LD02.4485
DS11.12038,IA3023,LD02.4485
DS11.12040,IA3023,LD02.4485
DS11.12041,IA3023,LD02.4485
DS11.12042,IA3023,LD02.4485
DS11.12043,IA3023,LD02.4485
DS11.12044,IA3023,LD02.4485
DS11.12045,IA3023,LD02.4485
DS11.12046,IA3023,LD02.4485
DS11.12047,IA3023,LD02.4485
DS11.12048,IA3023,LD02.4485
DS11.12049,IA3023,LD02.4485
DS11.12050,IA3023,LD02.4485
DS11.12051,IA3023,LD02.4485
DS11.12052,IA3023,LD02.4485
DS11.12053,IA3023,LD02.4485
DS11.12054,IA3023,LD02.4485
DS11.12056,IA3023,LD02.4485
DS11.12057,IA3023,LD02.4485
DS11.12058,IA3023,LD02.4485
DS11.12059,IA3023,LD02.4485
DS11.12062,IA3023,LD02.4485
DS11.12063,IA3023,LD02.4485
DS11.12065,IA3023,LD02.4485
DS11.12066,IA3023,LD02.4485
DS11.12068,IA3023,LD02.4485
DS11.12069,IA3023,LD02.4485
DS11.12070,IA3023,LD02.4485
DS11.12071,IA3023,LD02.4485
DS11.12072,IA3023,LD02.4485
DS11.12073,IA3023,LD02.4485
DS11.12074,IA3023,LD02.4485
DS11.12075,IA3023,LD02.4485
DS11.12076,IA3023,LD02.4485
DS11.12077,IA3023,LD02.4485
DS11.12078,IA3023,LD02.4485
DS11.12080,IA3023,LD02.4485
DS11.12081,IA3023,LD02.4485
DS11.12083,IA3023,LD02.4485
DS11.12084,IA3023,LD02.4485
DS11.12085,IA3023,LD02.4485
DS11.12086,IA3023,LD02.4485
DS11.12104,IA3023,LD02.4485
DS11.12105,IA3023,LD02.4485
DS11.12106,IA3023,LD02.4485
DS11.12107,IA3023,LD02.4485
DS11.12108,IA3023,LD02.4485
DS11.12110,IA3023,LD02.4485
DS11.12111,IA3023,LD02.4485
DS11.12112,IA3023,LD02.4485
DS11.12113,IA3023,LD02.4485
DS11.12114,IA3023,LD02.4485
DS11.12115,IA3023,LD02.4485
DS11.12116,IA3023,LD02.4485
DS11.12118,IA3023,LD02.4485
DS11.12119,IA3023,LD02.4485
DS11.12121,IA3023,LD02.4485
DS11.12122,IA3023,LD02.4485
DS11.12123,IA3023,LD02.4485
DS11.12125,IA3023,LD02.4485
DS11.12126,IA3023,LD02.4485
DS11.12127,IA3023,LD02.4485
DS11.12129,IA3023,LD02.4485
DS11.12130,IA3023,LD02.4485
DS11.12132,IA3023,LD02.4485
DS11.12136,IA3023,LD02.4485
DS11.12140,IA3023,LD02.4485
DS11.12142,IA3023,LD02.4485
DS11.12143,IA3023,LD02.4485
DS11.12146,IA3023,LD02.4485
DS11.12148,IA3023,LD02.4485
DS11.12149,IA3023,LD02.4485
DS11.12150,IA3023,LD02.4485
DS11.12151,IA3023,LD02.4485
DS11.12153,IA3023,LD02.4485
DS11.12157,IA3023,LD02.4485
DS11.12158,IA3023,LD02.4485
DS11.12159,IA3023,LD02.4485
DS11.12160,IA3023,LD02.4485
DS11.12161,IA3023,LD02.4485
DS11.12162,IA3023,LD02.4485
DS11.12164,IA3023,LD02.4485
DS11.12165,IA3023,LD02.4485
DS11.12166,IA3023,LD02.4485
DS11.12167,IA3023,LD02.4485
DS11.12168,IA3023,LD02.4485
DS11.12169,IA3023,LD02.4485
DS11.12170,IA3023,LD02.4485
DS11.12171,IA3023,LD02.4485
DS11.12172,IA3023,LD02.4485
DS11.12173,IA3023,LD02.4485
DS11.12174,IA3023,LD02.4485
DS11.12175,IA3023,LD02.4485
DS11.12176,IA3023,LD02.4485
DS11.12177,IA3023,LD02.4485
DS11.12178,IA3023,LD02.4485
DS11.12180,IA3023,LD02.4485
DS11.12181,IA3023,LD02.4485
DS11.12183,IA3023,LD02.4485
DS11.12184,IA3023,LD02.4485
DS11.12185,IA3023,LD02.4485
DS11.12187,IA3023,LD02.4485
DS11.12188,IA3023,LD02.4485
DS11.12189,IA3023,LD02.4485
DS11.12191,IA3023,LD02.4485
DS11.12192,IA3023,LD02.4485
DS11.12193,IA3023,LD02.4485
DS11.12194,IA3023,LD02.4485
DS11.12196,IA3023,LD02.4485
DS11.12197,IA3023,LD02.4485
DS11.12201,IA3023,LD02.4485
DS11.12204,IA3023,LD02.4485
DS11.13003,IA3023,LD02.9050
DS11.13005,IA3023,LD02.9050
DS11.13008,IA3023,LD02.9050
DS11.13009,IA3023,LD02.9050
DS11.13010,IA3023,LD02.9050
DS11.13012,IA3023,LD02.9050
DS11.13013,IA3023,LD02.9050
DS11.13014,IA3023,LD02.9050
DS11.13016,IA3023,LD02.9050
DS11.13017,IA3023,LD02.9050
DS11.13018,IA3023,LD02.9050
DS11.13019,IA3023,LD02.9050
DS11.13020,IA3023,LD02.9050
DS11.13021,IA3023,LD02.9050
DS11.13022,IA3023,LD02.9050
DS11.13023,IA3023,LD02.9050
DS11.13024,IA3023,LD02.9050
DS11.13026,IA3023,LD02.9050
DS11.13027,IA3023,LD02.9050
DS11.13028,IA3023,LD02.9050
DS11.13029,IA3023,LD02.9050
DS11.13030,IA3023,LD02.9050
DS11.13032,IA3023,LD02.9050
DS11.13033,IA3023,LD02.9050
DS11.13035,IA3023,LD02.9050
DS11.13037,IA3023,LD02.9050
DS11.13038,IA3023,LD02.9050
DS11.13040,IA3023,LD02.9050
DS11.13043,IA3023,LD02.9050
DS11.13044,IA3023,LD02.9050
DS11.13045,IA3023,LD02.9050
DS11.13047,IA3023,LD02.9050
DS11.13048,IA3023,LD02.9050
DS11.13050,IA3023,LD02.9050
DS11.13051,IA3023,LD02.9050
DS11.13052,IA3023,LD02.9050
DS11.13053,IA3023,LD02.9050
DS11.13054,IA3023,LD02.9050
DS11.13055,IA3023,LD02.9050
DS11.13056,IA3023,LD02.9050
DS11.13058,IA3023,LD02.9050
DS11.13060,IA3023,LD02.9050
DS11.13061,IA3023,LD02.9050
DS11.13062,IA3023,LD02.9050
DS11.13063,IA3023,LD02.9050
DS11.13064,IA3023,LD02.9050
DS11.13065,IA3023,LD02.9050
DS11.13066,IA3023,LD02.9050
DS11.13067,IA3023,LD02.9050
DS11.13068,IA3023,LD02.9050
DS11.13070,IA3023,LD02.9050
DS11.13071,IA3023,LD02.9050
DS11.13072,IA3023,LD02.9050
DS11.13073,IA3023,LD02.9050
DS11.13074,IA3023,LD02.9050
DS11.13076,IA3023,LD02.9050
DS11.13078,IA3023,LD02.9050
DS11.13080,IA3023,LD02.9050
DS11.13082,IA3023,LD02.9050
DS11.13083,IA3023,LD02.9050
DS11.13084,IA3023,LD02.9050
DS11.13085,IA3023,LD02.9050
DS11.13086,IA3023,LD02.9050
DS11.13087,IA3023,LD02.9050
DS11.13088,IA3023,LD02.9050
DS11.13089,IA3023,LD02.9050
DS11.13090,IA3023,LD02.9050
DS11.13100,IA3023,LD02.9050
DS11.13103,IA3023,LD02.9050
DS11.13104,IA3023,LD02.9050
DS11.13105,IA3023,LD02.9050
DS11.13106,IA3023,LD02.9050
DS11.13107,IA3023,LD02.9050
DS11.13109,IA3023,LD02.9050
DS11.13111,IA3023,LD02.9050
DS11.13112,IA3023,LD02.9050
DS11.13114,IA3023,LD02.9050
DS11.13115,IA3023,LD02.9050
DS11.13116,IA3023,LD02.9050
DS11.13117,IA3023,LD02.9050
DS11.13118,IA3023,LD02.9050
DS11.13119,IA3023,LD02.9050
DS11.13120,IA3023,LD02.9050
DS11.13121,IA3023,LD02.9050
DS11.13122,IA3023,LD02.9050
DS11.13123,IA3023,LD02.9050
DS11.13124,IA3023,LD02.9050
DS11.13125,IA3023,LD02.9050
DS11.13126,IA3023,LD02.9050
DS11.13127,IA3023,LD02.9050
DS11.13128,IA3023,LD02.9050
DS11.13130,IA3023,LD02.9050
DS11.13131,IA3023,LD02.9050
DS11.13132,IA3023,LD02.9050
DS11.13133,IA3023,LD02.9050
DS11.13134,IA3023,LD02.9050
DS11.13135,IA3023,LD02.9050
DS11.13137,IA3023,LD02.9050
DS11.13138,IA3023,LD02.9050
DS11.13139,IA3023,LD02.9050
DS11.13141,IA3023,LD02.9050
DS11.13144,IA3023,LD02.9050
DS11.13145,IA3023,LD02.9050
DS11.13146,IA3023,LD02.9050
DS11.13147,IA3023,LD02.9050
DS11.13148,IA3023,LD02.9050
DS11.13149,IA3023,LD02.9050
DS11.13155,IA3023,LD02.9050
DS11.13156,IA3023,LD02.9050
DS11.13157,IA3023,LD02.9050
DS11.13158,IA3023,LD02.9050
DS11.13159,IA3023,LD02.9050
DS11.13160,IA3023,LD02.9050
DS11.13163,IA3023,LD02.9050
DS11.13165,IA3023,LD02.9050
DS11.13166,IA3023,LD02.9050
DS11.13168,IA3023,LD02.9050
DS11.13170,IA3023,LD02.9050
DS11.13171,IA3023,LD02.9050
DS11.13172,IA3023,LD02.9050
DS11.13173,IA3023,LD02.9050
DS11.13174,IA3023,LD02.9050
DS11.13175,IA3023,LD02.9050
